Target,MAE,MSE,R2
PowerConsumption_Zone1,3265.1121898410483,21508020.15702105,0.5795803219586956
PowerConsumption_Zone2,2363.117890968973,11054303.750655299,0.5832084373277573
PowerConsumption_Zone3,2509.6850716779236,12677158.806953844,0.7144161260871169
